0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
HTML,JS,PHP,Wordpress,,,,,,,,,,,
react native,React-Native,Redux,JavaScript ES6,,,,,,,,,,,
 Front-end,CSS,HTML,jQuery,JS,,,,,,,,,,
Wordpress,PHP,CSS,,,,,,,,,,,,
C#, OOP,Socket Programming,,,,,,,,,,,,
 Front-end,ReactJS,Javascript,jQuery,,,,,,,,,,,
,,,,,,,,,,,,,,
Python,Django,Linux, SQL,REST, Git,,,,,,,,,
Back-end,MongoDB,MySQL,RestFul API,,,,,,,,,,,
Android,Swift, Git,,,,,,,,,,,,
Back-end,API,object-oriented,agile,NoSQL,SQL,,,,,,,,,
 PHP,OOP,MVC,HTML, JavaScript, CSS,,,,,,,,,
OOP,PHP,MVC,MySQL,CSS3,HTML5,Javascript,,,,,,,,
,,,,,,,,,,,,,,
Android,Java,Android SDK,SQLite,git,,,,,,,,,,
ReactJS,Graphql,HTML,CSS,RESTful,Less,,,,,,,,,
کنترل پروژه,agile, Scrum,Jira,,,,,,,,,,,
UI  UX,vue.js,Angular,SCSS,CSS,HTML,Javascript,jQuery,,,,,,,
IOS,Android,Java,ES6,,,,,,,,,,,
.NET,Socket Programming,Sql Server,,,,,,,,,,,,
CTO,Python,Django,git,,,,,,,,,,,
PHP,Node.js,HTML5,CSS3,,,,,,,,,,,
مدیریت فنی,PHP, Git, Scrum,codeigniter,Wordpress,CMS,مدیریت تیم فنی,,,,,,,
Front-end,UI  UX,HTML, JavaScript, CSS,Responsive, SASS,,,,,,,,
Node.js,express.js,OOP,Javascript,MVC,,,,,,,,,,
Front-end,JavaScrip,CSS,,,,,,,,,,,,
C#,Unity,,,,,,,,,,,,,
react native,MVP,HTML,CSS,Less,RESTful,Kotlin,Java,,,,,,,
RubyOnRails, OOP,TDD,RestFul API,,,,,,,,,,,
react native,Javascript,ES6,ES5,REST,Redux,typescript,Gradle,,,,,,,
Javascript,JSX,ES6,React,react native,,,,,,,,,,
Java,Java Core,EJB, OOP,MySQL,oracle,,,,,,,,,
Pl/sql,oracle,,,,,,,,,,,,,
کارآموزی, Front-end,,,,,,,,,,,,,
Node.js,CSS,HTML, Git,npm,Javascript,RestFul API,,,,,,,,
PHP,MySQL,REST,Javascript,HTML,CSS,Back-end,,,,,,,,
core java,Object Oriented,Java,,,,,,,,,,,,
,,,,,,,,,,,,,,
HTML,CSS, SASS,Less,Bootstrap,Javascript, Git,,,,,,,,
طراحی سایت,Wordpress,,,,,,,,,,,,,
کارآموزی,اندروید,,,,,,,,,,,,,
 Front-end,HTML,CSS,Javascript, Git,,,,,,,,,,
React-Native,React,Javascript,CSS,HTML,,,,,,,,,,
HTML,CSS,Javascript,jQuery,ms-sql,T-SQL,bpms,portal,,,,,,,
ASP.NET Core,Angular,,,,,,,,,,,,,
,,,,,,,,,,,,,,
تست نرم افزار,مستندسازی,,,,,,,,,,,,,
مدیریت پروژه,Jira, Scrum,agile,,,,,,,,,,,
PHP, OOP,MVC,HTML,CSS,Javascript,jQuery,,,,,,,,
 Front-end,HTML,Bootstrap,Redux,RestFul API,,,,,,,,,,
ASP.NET MVC,Entity Framework CodeFirst, OOP,SOLID,TSQL,mssql,,,,,,,,,
Android,IOS, Git,Android SDK,,,,,,,,,,,
ecmascript,Javascript,HTML5, Git, SASS,,,,,,,,,,
 AJAX,Javascript, SQL,PHP,,,,,,,,,,,
تست نرم افزار,مستندسازی,,,,,,,,,,,,,
مدیریت پروژه,کنترل پروژه,,,,,,,,,,,,,
angular6,HTML,CSS3,Javascript, SASS,SCSS,,,,,,,,,
 SQL,,,,,,,,,,,,,,
PHP,Laravel Framework,Linux, SQL, OOP,SOLID,,,,,,,,,
UI  UX,WPF,Photoshop,,,,,,,,,,,,
++C,PostgreSQL, Linux,,,,,,,,,,,,
,,,,,,,,,,,,,,
 OOP,PHP,Zend Framework,MVC,MVVM,RESTful APIs ,Web Services,HTML,CSS,jQuery, AJAX, JSON,Bootstrap,KnockoutJS,
 Front-end,Javascript,ecmascript,Vue,React,Angular, Git,,,,,,,,
Java,Web Services,Hibernate,spring, SQL,git,,,,,,,,,
.NET Core,C#,.NET Framework ,RestFul API,jQuery,CSS,Javascript,HTML,MSSQL Server,Design Patterns,,,,,
امور اداری,Microsoft Office ,,,,,,,,,,,,,
Laravel,PHP,RESTful,Object Oriented,MySQL,,,,,,,,,,
Back-end,Django,jQuery, AJAX,Javascript,CSS,Bootstrap,HTML,,,,,,,
HTML,CSS,Javascript,ASP.NET WebFrom,,,,,,,,,,,
ASP.NET WebFrom,#C, LINQ, JavaScript,HTML,CSS,,,,,,,,,
Django,Python,Linux,,,,,,,,,,,,
Javascript, Front-end,ES6,React.js,,,,,,,,,,,
NET., CSS3,HTML5,Bootstrap, JavaScript,,,,,,,,,,
React,ReactJS,Redux, JavaScript, jQuery,,,,,,,,,,
C#,,,,,,,,,,,,,,
Sharepoint Server,workflow,administration,,,,,,,,,,,,
PHP, OOP,Wordpress,Vue,CSS,HTML,Javascript,,,,,,,,
Android,Android Studio,Java, Git,,,,,,,,,,,
PHP,MVC,CSS,HTML,Javascript,jQuery,Vue,,,,,,,,
PHP,HTML,CSS,Javascript,MySQL,,,,,,,,,,
PHP,Laravel,Bootstrap,MySQL,,,,,,,,,,,
IOS,Swift, Objective-C,UIKIT,Layout, Git,,,,,,,,,
BPMN, Scrum,,,,,,,,,,,,,
 Front-end,Javascript,CSS,HTML,,,,,,,,,,,
,,,,,,,,,,,,,,
react native,React,Javascript,JSX,ES6,ES5, Git,,,,,,,,
تحلیل نرم افزار,مستندسازی,,,,,,,,,,,,,
مدیریت سایت,CMS,Wordpress,,,,,,,,,,,,
ASP.NET Core,Sql Server,Object Oriented, LINQ,MultiThreading,,,,,,,,,,
PHP,codeigniter,MySQL,,,,,,,,,,,,
HTML,MVC,Laravel,RestFul API,,,,,,,,,,,
DevOps,Redis,Cassandra,,,,,,,,,,,,
طراحی وب,HTML,CSS,OpenCart,Javascript,,,,,,,,,,
Python,RestFul API,Flask,MySQL,MongoDB,,,,,,,,,,
PHP,Laravel,RestFul API,,,,,,,,,,,,
ASP.NET,C#, OOP,RESTful,Back-end,,,,,,,,,,
PHP,Laravel,MySQL,jQuery,Javascript,Vuejs,ReactJS,,,,,,,,
microsoft Dynamics CRM,,,,,,,,,,,,,,
C#, SQL, Git,,,,,,,,,,,,
مدیریت فنی,PHP,codigniter,,,,,,,,,,,,
مدیریت پروژه, Git,MVC, Scrum,,,,,,,,,,,
,,,,,,,,,,,,,,
طراحی وب,CSS,HTML,Bootstrap,,,,,,,,,,,
پشتیبانی سایت,CSS,HTML,,,,,,,,,,,,
Android Studio,Android, Git, JSON,,,,,,,,,,,
Swift,IOS, Objective-C,,,,,,,,,,,,
 Front-end,HTML5,CSS3, SASS,Less,Javascript,React,,,,,,,,
Android,کاتلین,طراحی اپلیکیشن,کرکینگ ۲۰۱۹,تدریس و آموزش,,,,,,,,,,
Angular,Javascript,typescript,CSS,HTML,Java,,,,,,,,,
Javascript,HTML5,Angular 2,RESTful,,,,,,,,,,,
Android,Android Studio,RestFul API, JSON,,,,,,,,,,,
PHP,Laravel,MySQL,Back-end,,,,,,,,,,,
تست نرم افزار,مستندسازی,,,,,,,,,,,,,
ASP.NET,Angular,MSSQL Server,Entity Framework,,,,,,,,,,,
 OOP, SQL,CDI,spring,JPQL,,,,,,,,,,
Wordpress,HTML,CSS,jQuery,Javascript,,,,,,,,,,
,,,,,,,,,,,,,,
